new entry "Storm_Lightning"
type "SkillData"
data "SkillType" "Storm"
data "ForGameMaster" "Yes"
data "Ability" "Air"
data "Tier" "Master"
data "ActionPoints" "4"
data "Cooldown" "5"
data "TargetRadius" "17"
data "AreaRadius" "13"
data "TargetConditions" "NonSelf;Enemy"
data "OverrideSkillLevel" "No"
data "DeathType" "Explode"
data "HitRadius" "1"
data "Lifetime" "1"
data "MinHitsPerTurn" "7"
data "MaxHitsPerTurn" "7"
data "HitDelay" "0"
data "MemorizationRequirements" "AirSpecialist 5"
data "Icon" "Skill_Air_ThunderStorm"
data "DisplayName" "Storm_Lightning_DisplayName"
data "DisplayNameRef" "Thunderstorm"
data "Description" "Storm_Lightning_Description"
data "DescriptionRef" "Muster a volatile <font color='#dbdbdb'>stormcloud</font> over target area, lasting for 1 turn. <br><br>Lightning bolts crash from the <font color='#dbdbdb'>stormcloud</font> on-cast and on-turn at up to 7 <font color='#aa3938'>enemies</font>, each <font color='#7d71d9'>Stunning</font> and dealing [1] in a 3m radius."
data "StatsDescriptionParams" "Skill:ProjectileStrike_OdinAERO_Stormbolt_Thunderstorm:Damage"
data "FXScale" "120"
data "PrepareAnimationInit" "skill_prepare_air_01_start"
data "PrepareAnimationLoop" "skill_prepare_air_01_loop"
data "PrepareEffect" "RS3_FX_Skills_Air_Prepare_Air_ThunderStorm_Hand_01:Dummy_L_HandFX;RS3_FX_Skills_Air_Prepare_Air_ThunderStorm_BodyFX_01,KeepRot:Dummy_BodyFX"
data "CastAnimation" "skill_cast_aoe_air_01_cast"
data "CastTextEvent" "cast"
data "CastEffect" "RS3_FX_Skills_Air_Cast_Cone_Air_Tornado_Hand_01:Dummy_L_HandFX;RS3_FX_Skills_Air_Cast_Cone_Air_Tornado_Hand_Cast_01:Dummy_L_HandFX,Dummy_R_HandFX:cast"
data "TargetEffect" "RS3_FX_Skills_Air_Target_Lightning_01"
data "StormEffect" "RS3_FX_Skills_Air_Impact_ThunderStorm_01"
data "Memory Cost" "3"
data "Magic Cost" "3"
data "ProjectileSkills" "ProjectileStrike_OdinAERO_Stormbolt_Thunderstorm"
data "CycleConditions" "Enemy;!Dead"

