new entry "Summon_OdinAERO_ConjureWindElemental"
type "SkillData"
data "SkillType" "Summon"
data "ForGameMaster" "Yes"
data "Ability" "Air"
data "ActionPoints" "2"
data "Cooldown" "6"
data "AIFlags" "CanNotUse"
data "Lifetime" "5"
data "SummonLevel" "-1"
data "MemorizationRequirements" "AirSpecialist 1; Summoning 1"
data "Memory Cost" "1"
data "Magic Cost" "0"
data "Template" "d5eb01e8-6c91-44d7-8675-15ca1bb9af76"
data "TemplateAdvanced" "69995194-1357-42ea-98e1-3acc36b4bf45"
data "TemplateOverride" "69995194-1357-42ea-98e1-3acc36b4bf45"
data "TargetRadius" "13"
data "SummonCount" "1"
data "Icon" "OBAERO_Skill_ConjureWindElemental"
data "DisplayName" "Summon_OdinAERO_ConjureWindElemental_DisplayName"
data "DisplayNameRef" "Conjure Wind Elemental"
data "Description" "Summon_OdinAERO_ConjureWindElemental_Description"
data "DescriptionRef" "Fabricate a <font color='#7d71d9'>Wind Elemental</font> at target location. The <font color="#7d71d9">Elemental</font> lasts 5 turns and is a ranged caster. <br><br>At <font color="#7f25d4">10 Summoning</font>, the <font color="#7d71d9">Elemental</font> increases in size and gains additional stats."
data "FXScale" "100"
data "PrepareAnimationInit" "skill_prepare_totem_01_start"
data "PrepareAnimationLoop" "skill_prepare_totem_01_loop"
data "PrepareEffect" "RS3_FX_Skills_Air_Prepare_Air_Root_02;RS3_FX_Skills_Air_SigilDecal_01;"
data "CastAnimation" "skill_cast_shout_01_cast"
data "CastTextEvent" "cast"
data "CastEffect" "RS3_FX_Skills_Air_Wind_Shout_01:root"
data "CastEffectTextEvent" "cast"
data "TargetCastEffect" "RS3_FX_Skills_Air_Impact_PressureSpike_01"
data "TargetEffect" "RS3_FX_UI_TargetPreview_Air_01l"

