new entry "Tornado_Air"
type "SkillData"
data "SkillType" "Tornado"
data "ForGameMaster" "Yes"
data "Ability" "Air"
data "ActionPoints" "1"
data "Cooldown" "4"
data "SkillProperties" "IF(Enemy):SUFFOCATING,100,1;IF(Enemy):OdinCORE_PROC_LOSTFOOTING,100,0;"
data "TargetRadius" "13"
data "HitRadius" "3"
data "RandomPoints" "5"
data "DeathType" "Physical"
data "SurfaceType" "None"
data "SurfaceRadius" "3"
data "SurfaceLifetime" "0"
data "SurfaceStatusChance" "100"
data "PointsMaxOffset" "3"
data "MemorizationRequirements" "AirSpecialist 3"
data "Icon" "OBAERO_Skill_Tornado"
data "DisplayName" "Tornado_Air_DisplayName"
data "DisplayNameRef" "Tornado"
data "Description" "Tornado_Air_Description"
data "DescriptionRef" "An uncontrollable tornado sweeps the battlefield, applying <font color='#797980'>Suffocating</font> and <font color='#dbdbdb'>Lost Footing</font> to <font color='#aa3938'>enemies</font>. <br><br>The tornado clears all <font color='#dbdbdb'>Surfaces</font> in its wake.<br><br>Removes <font color='#639594'>Invisible</font>, <font color='#fe6e27'>Burning</font>, <font color="#65c900">Poisoned</font>, and <font color='#c7a758'>Slowed</font> from all characters."
data "StatsDescription" "Tornado_Air_StatsDescription"
data "StatsDescriptionRef" "Radius: [1]"
data "StatsDescriptionParams" "Damage"
data "FXScale" "100"
data "PrepareAnimationInit" "skill_prepare_air_01_start"
data "PrepareAnimationLoop" "skill_prepare_air_01_loop"
data "PrepareEffect" "RS3_FX_Skills_Air_Prepare_Air_Tornado_Root_01,KeepRot,Detach:root;RS3_FX_Skills_Air_Prepare_Air_Tornado_Hand_01:Dummy_L_HandFX"
data "CastAnimation" "skill_cast_cone_air_01_cast"
data "CastTextEvent" "cast"
data "CastEffect" "RS3_FX_Skills_Air_Cast_Cone_Air_Tornado_Hand_01:Dummy_L_HandFX;RS3_FX_Skills_Air_Cast_Cone_Air_Tornado_Hand_Cast_01:Dummy_L_HandFX,Dummy_R_HandFX:cast"
data "TargetEffect" "RS3_FX_UI_TargetPreviewer_Air_01"
data "Memory Cost" "1"
data "Magic Cost" "0"
data "CleanseStatuses" "INVISIBLE;BURNING;POISONED;SLOWED"
data "StatusClearChance" "100"
data "CycleConditions" "Character;!Dead"

