new entry "Zone_OdinAERO_RollingThunder"
type "SkillData"
data "SkillType" "Zone"
data "ForGameMaster" "Yes"
data "Ability" "Air"
data "Tier" "Master"
data "ActionPoints" "3"
data "Cooldown" "3"
data "Damage Multiplier" "130"
data "Damage Range" "10"
data "DamageType" "Air"
data "SkillProperties" "Electrify;IF(Enemy):OdinAERO_PROC_CONDUCTIVE,100,0;"
data "DeathType" "Electrocution"
data "SurfaceType" "WaterCloudElectrified"
data "SurfaceStatusChance" "100"
data "SurfaceGrowStep" "2"
data "SurfaceGrowInterval" "12"
data "TargetConditions" "!Dead;"
data "UseWeaponDamage" "No"
data "UseWeaponProperties" "No"
data "CanTargetCharacters" "Yes"
data "CanTargetItems" "Yes"
data "Icon" "OBAERO_Skill_RollingThunder"
data "DisplayName" "Zone_OdinAERO_RollingThunder_DisplayName"
data "DisplayNameRef" "Rolling Thunder"
data "Description" "Zone_OdinAERO_RollingThunder_Description"
data "DescriptionRef" "Command a wicked bolt in target direction, dealing [1] to characters and leaving behind a trail of <font color='#73f6ff'>Electrified Steam Clouds</font>. <br><br><font color='#b87333'>Conductive</font>:<br>Hitting a <font color='#b87333'>Conductive</font> <font color='#aa3938'>enemy</font> causes this skill to deal [2] to <font color='#aa3938'>non-Conductive enemies</font> within [3]."
data "StatsDescriptionParams" "Damage;Weapon:Damage_OdinAERO_Conductive_Low:Damage;Skill:Projectile_OdinAERO_Conductive_Low_Damage:AreaRadius;"
data "FXScale" "100"
data "PrepareAnimationInit" "skill_prepare_divine_01_start"
data "PrepareAnimationLoop" "skill_prepare_divine_01_loop"
data "PrepareEffect" "RS3_FX_Skills_Air_Lightning_Prepare_Hand_02:Dummy_L_HandFX:hand01;RS3_FX_Skills_Air_Lightning_Prepare_Hand_02:Dummy_R_HandFX:hand02;OdinAero_Prepare_Overhead_01,KeepRot:Dummy_OverheadFX:hand02;RS3_FX_Skills_Fire_Prepare_LaserRay_Root_01_SFX:Dummy_Root"
data "CastAnimation" "skill_cast_beam_fire_01_cast"
data "CastTextEvent" "castsurface"
data "CastEffect" "OdinAero_Cast_Ray_01:Dummy_OverheadFX;OdinAero_Beams_01,Beam:Dummy_OverheadFX,Dummy_Custom_Anim;OdinAero_Cast_Ray_Attachment_01:Dummy_Custom_Anim"
data "Memory Cost" "1"
data "Magic Cost" "0"
data "MemorizationRequirements" "AirSpecialist 4"
data "Shape" "Square"
data "BackStart" "8"
data "FrontOffset" "1"
data "Range" "20"
data "Base" "1"

