new entry "OdinAERO_VOLTMASTER"
type "StatusData"
data "StatusType" "SPARK"
data "ForGameMaster" "No"
data "InitiateCombat" "No"
data "DisplayName" "OdinAERO_VOLTMASTER_DisplayName"
data "DisplayNameRef" "Voltmaster"
data "Description" "OdinAERO_VOLTMASTER_Description"
data "DescriptionRef" "Hitting enemies with melee hits will cause shocking volts to be striken off at nearby enemies. Volts can fork up to 2 times."
data "Icon" "OBAERO_Skill_MasterOfVolts"
data "FormatColor" "Green"
data "StatsId" "Stats_SparkMaster"
data "StackId" "Stack_Spark"
data "StackPriority" "1"
data "Projectile" "Projectile_OdinAERO_Status_Voltmaster"
data "Radius" "13"
data "Charges" "-1"
data "TargetConditions" "Character;Enemy;NonSelf"

